NOT,"不满足条件X,不满足条件X返回1,否则返回0",,,,,,
OPEN,取得开盘价,,,,,,
OPI,取得持仓量,,,,,,
PARTLINE,"条件COND满足时,以COLOR颜色的直线连接DATA各点",,,,,,
PLAYSOUND,条件COND满足时播放指定声音,,,,,,
POLYLINE,"条件满足时,用颜色COLOR的直线连接DATA的值",,,,,,
POW,求X的Y次幂,,,,,,
RANGE,"判断是否A大于B同时小于C,如果是则返回1,否则返回0",,,,,,
REF,取X在N个周期前的值,,,,,,
REFWH,取X在N个周期前的值,,,,,,
REVERSE,取－X,,,,,,
SAR,"取抛物转向值N为周期数,Step为步长,Max为极值",,,,,,
SETDEALPERCENT,表示每次按模组子账户资金的百分之fPercent下单,,,,,,
SETTLE,求到某根k线的结算价,,,,,,
SGN,"判断X正负数 （若X>0返回1,若X<0返回-1,否则返回0）",,,,,,
SIN,求X的正弦值,,,,,,
SLOPE,求X的N周期的线型回归的斜率,,,,,,
SMA,"求X的N个周期内的扩展指数加权移动平均。M为权重,N为周期数",,,,,,
SOUND,播放声音'N',,,,,,
SQRT,求X的平方根,,,,,,
SQUARE,求X的平方,,,,,,
STD,求X在N个周期内的标准差,,,,,,
STDP,求X的N日总体标准差,,,,,,
STICKLINE,"当C条件满足时,从P1画到P2柱线",,,,,,
SUM,求X在N个周期内的总和,,,,,,
SUMBARS,求多少个周期的X向前累加能够大于等于A,,,,,,
TAN,求X的正切值,,,,,,
TIME,"取周期的时数,分钟周期表示为0900,秒周期表示为090000",,,,,,
TRMA,求X在N周期内的三角移动平均,,,,,,
TSMA,求X在N周期内的时间序列三角移动平均,,,,,,
VALUEWHEN,取满足条件COND时的X值,,,,,,
VAR,求X在N周期内的样本方差,,,,,,
VARP,求X的N周期总体方差,,,,,,
VERTLINE,"条件COND满足时,以颜色COLOR画垂直线",,,,,,
VOL,取成交量,,,,,,
VOLTIME,取K线形成的时间（秒）,,,,,,
VOLTICK,返回K线是由多少笔TICK生成,,,,,,
V,取成交量,,,,,,
MYVOL,取下单手数,,,,,,
WEEKDAY,取得星期数（0-6）,,,,,,
YEAR,取得年份（1970-2033）,,,,,,
ISLASTBK,判断上一个指令是否是买开 ,,,,,,
ISLASTSK,判断上一个指令是否是卖开 ,,,,,,
ISLASTBP,判断上一个指令是否是买平 ,,,,,,
ISLASTCLOSEOUT,判断上一个指令是否是全平 ,,,,,,
ISLASTSP,判断上一个指令是否是卖平 ,,,,,,
ISLASTBPK,判断上一个指令是否是买平开 ,,,,,,
ISLASTSPK,判断上一个指令是否是卖平开 ,,,,,,
BKPRICE,返回数据合约最近一次买开信号价位 ,,,,,,
BKPRICE1,返回交易合约最近一次买开信号价位,,,,,,
LONG_PRICE,模组子账户多头持仓均价,,,,,,
SHORT_PRICE,模组子账户空头持仓均价,,,,,,
LONG_VOL,取模组子账户实际的多头可用持仓,,,,,,
SHORT_VOL,取模组子账户实际的空头可用持仓,,,,,,
LONG_TIME,取模组最后一次买开或买平成交的时间,,,,,,
SHORT_TIME,取模组最后一次卖开或卖平成交的时间,,,,,,
NOW_TIME,当前的本地时间,,,,,,
NULL,返回空值,,,,,,
BARSBK,取上一次买开信号位置 ,,,,,,
SKPRICE,返回数据合约最近一次卖开信号价位 ,,,,,,
SKPRICE1,返回交易合约最近一次卖开信号价位,,,,,,
BARSSK,取上一次卖开信号位置 ,,,,,,
BARSBP,取上一次买平信号位置 ,,,,,,
BARSSP,取上一次卖平信号位置 ,,,,,,
LASTSIG,取上一次交易指令方向 ,,,,,,
MONEY,返回模组子账户可用资金 ,,,,,,
FEE,返回当前合约的手续费,,,,,,
MARGIN,返回当前合约的保证金比率,,,,,,
MONEYRATIO,返回当前的模组子账户的资金使用率,,,,,,
MONEYTOT,返回当前模组子账户权益,,,,,,
VOLMARGIN,模组子账户持仓保证金,,,,,,
PROFIT,返回当前的模组子账户逐笔浮动盈亏,,,,,,
BOLD,加粗,,,,,,
DOT,画点线,,,,,,
MINPRICE,取数据合约的最小变动价位,,,,,,
MINPRICE1,取模组交易合约的最小变动价位,,,,,,
UNIT,取加载数据合约的交易单位,,,,,,
UNIT1,取模组交易合约的交易单位,,,,,,
MINPRICED,返回N所对应合约的最小变动价位,,,,,,
YSETTLE,求某根k线的昨结算价,,,,,,
TREND,获取K线趋势,,,,,,
KLINESTART,判断K线当前状态是否是K线开始,,,,,,
SETSIGPRICETYPE,不同的信号设置不同的委托方式,,,,,,
BARSLASTCOUNT,"从当前周期向前计算,统计连续满足条件的周期数",,,,,,
BARSSINCE,第一个条件成立到当前的周期数,,,,,,
OFFSETPROFIT,返回当前模组子账户的平仓盈亏,,,,,,
AMA,考夫曼均值,,,,,,
SMMA,表示当前K线上X在N个周期的通畅移动平均线,,,,,,
NUMPOW,自然数幂方和  ,,,,,,
CONDBARS,取得最近满足A、B条件的k线间周期数,,,,,,
DIVERGENCE,变量X1与X2在指定周期内是否发生背离,,,,,,
STICK,画指定粗细的柱线,,,,,,
DRAWCOLORLINE,根据条件画相应颜色的线,,,,,,
LOOP2,"循环条件函数；若COND条件成立,则返回A,否则返回B",,,,,,
LOOP1,循环统计函数；对变量X在N个周期进行TYPE相应的操作,,,,,,
COUNTSIG,"统计N周期内,X信号的数量",,,,,,
